BirthRate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,LifeExpectancy,Ease of Business (clusters),Country,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,InfantMortalityRate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
1.00%,0.473,38929,Below Threshold,"$12,842 ",Below 1.5%,74,Very Friendly,Slovak Republic,27,,18640,"$9,376 ",$69B,7.30%,$761 ,325,0.80%,56%,0.077,78,70,91%,1,16%,72%,0.118,5.4M,55.40%,Europe,$2B,$1B,12/1/2006
0.90%,0.392,16245,Below Threshold,"$19,406 ",Below 1.5%,79,Very Friendly,Slovenia,60,,7321,"$18,752 ",$39B,8.30%,"$1,610 ",260,0.30%,54%,0.074,82,75,91%,1,14%,70%,0.158,2.0M,50.40%,Europe,$2B,$1B,12/1/2006
1.10%,0.619,350037,Below Threshold,"$27,847 ",Below 1.5%,81,Very Friendly,Spain,47,,141748,"$23,440 ","$1,236B",8.40%,"$2,371 ",298,0.50%,50%,,84,78,104%,1,15%,69%,0.168,44.4M,77.50%,Europe,$58B,$20B,12/1/2006
1.20%,0.541,49571,Below Threshold,"$43,949 ",Below 1.5%,81,Very Friendly,Sweden,16,,50207,"$42,192 ",$399B,8.90%,"$3,947 ",122,0.30%,88%,,83,79,106%,1,17%,66%,0.174,9.1M,84.40%,Europe,$10B,$12B,12/1/2006
1.00%,0.276,41877,Below Threshold,"$54,140 ",Below 1.5%,82,Very Friendly,Switzerland,18,,27084,"$51,568 ",$405B,10.40%,"$5,643 ",63,0.40%,76%,0.03,84,79,99%,1,16%,68%,0.16,7.5M,73.50%,Europe,$13B,$11B,12/1/2006
1.90%,0.524,261571,Below Threshold,"$7,736 ",1.5-3%,73,Friendly,Turkey,6,,93035,"$4,688 ",$531B,5.80%,$422 ,254,2.40%,18%,,76,69,77%,1,28%,65%,0.067,68.6M,68.40%,Europe,$19B,$4B,12/1/2006
1.00%,0.57,326480,Below Threshold,"$2,303 ",Below 1.5%,68,Moderate,Ukraine,33,,137333,$0 ,$108B,6.40%,$147 ,"2,085",1.20%,5%,0.152,74,62,105%,1,14%,70%,0.16,46.8M,68.00%,Europe,$4B,$3B,12/1/2006
1.20%,0.346,542041,Below Threshold,"$40,808 ",Below 1.5%,79,Very Friendly,United Kingdom,13,,218961,"$37,504 ","$2,483B",8.40%,"$3,423 ",105,0.50%,69%,0.046,81,77,116%,1,18%,66%,0.16,60.8M,80.20%,Europe,$44B,$78B,12/1/2006
1.80%,,19497,Below Threshold,"$19,460 ",1.5-3%,76,Very Friendly,Bahrain,,,8093,"$18,752 ",$19B,3.60%,$599 ,,0.90%,28%,0.08,76,75,95%,1,25%,73%,0.022,1.0M,88.40%,Middle East,$2B,$1B,12/1/2006
1.80%,0.442,509889,Below Threshold,"$3,140 ",1.5-3%,72,Low,"Iran, Islamic Rep.",28,,180242,$0 ,$223B,5.10%,$174 ,344,2.10%,9%,0.14,74,70,22%,1,25%,70%,0.05,71.0M,68.20%,Middle East,$1B,$5B,12/1/2006
3.40%,0.278,99544,Below Threshold,"$2,321 ",Above 3%,69,Low,Iraq,32,,21503,$0 ,$65B,3.00%,$58 ,312,3.30%,1%,0.145,72,66,33%,1,42%,55%,0.034,28.1M,68.80%,Middle East,$0B,$1B,12/1/2006
2.10%,0.382,65977,Below Threshold,"$21,405 ",1.5-3%,86,Very Friendly,Israel,20,,20380,"$18,752 ",$151B,7.40%,"$1,524 ",230,0.40%,28%,0.081,83,88,124%,1,28%,62%,0.101,7.1M,91.60%,Middle East,$4B,$4B,12/1/2006
3.00%,0.311,20733,Below Threshold,"$2,720 ",Above 3%,73,Moderate,Jordan,16,,6853,$0 ,$15B,8.10%,$224 ,136,2.00%,14%,0.082,74,71,80%,1,37%,59%,0.032,5.5M,81.40%,Middle East,$2B,$1B,12/1/2006
2.10%,0.107,73769,Below Threshold,"$42,012 ",1.5-3%,74,Moderate,Kuwait,35,,25780,"$37,504 ",$102B,2.20%,$943 ,98,1.00%,29%,0.086,75,73,49%,1,26%,72%,0.031,2.4M,98.20%,Middle East,$1B,$6B,12/1/2006
1.40%,0.354,14499,Below Threshold,"$5,342 ",Below 1.5%,78,Moderate,Lebanon,46,,4774,"$4,688 ",$22B,8.10%,$443 ,180,1.10%,15%,0.103,80,76,27%,1,27%,65%,0.076,4.1M,86.70%,Middle East,$5B,$4B,12/1/2006
2.20%,0.203,39604,Below Threshold,"$14,405 ",1.5-3%,75,Very Friendly,Oman,35,,15183,"$14,064 ",$37B,2.30%,$346 ,52,1.10%,8%,0.074,77,73,71%,1,34%,64%,0.025,2.6M,73.00%,Middle East,$1B,$1B,12/1/2006
1.40%,,56736,Below Threshold,"$62,921 ",Below 1.5%,78,Very Friendly,Qatar,,,19606,"$60,944 ",$61B,2.60%,"$1,625 ",,0.90%,29%,0.072,78,77,95%,1,21%,78%,0.013,1.0M,97.80%,Middle East,$1B,$4B,12/1/2006
2.30%,0.145,432739,Below Threshold,"$14,855 ",1.5-3%,74,Very Friendly,Saudi Arabia,42,,158214,"$14,064 ",$377B,3.70%,$537 ,79,1.60%,20%,,76,72,78%,1,34%,63%,0.03,25.4M,81.20%,Middle East,$5B,$13B,12/1/2006
2.70%,0.433,53590,Below Threshold,"$1,773 ",1.5-3%,75,Low,Syrian Arab Republic,43,,21630,$0 ,$33B,3.80%,$66 ,336,1.50%,8%,0.08,77,73,25%,1,38%,59%,0.034,18.8M,54.20%,Middle East,$2B,$1B,12/1/2006
1.60%,0.144,123875,Below Threshold,"$45,554 ",1.5-3%,76,Very Friendly,United Arab Emirates,19,,45911,"$42,192 ",$222B,2.30%,"$1,109 ",12,0.80%,52%,,77,75,113%,1,18%,81%,0.007,4.9M,82.60%,Middle East,$5B,$9B,12/1/2006
3.50%,0.479,20796,Below Threshold,$924 ,Above 3%,62,Moderate,"Yemen, Rep.",63,,7054,$0 ,$19B,4.80%,$52 ,248,5.40%,1%,0.18,63,60,14%,1,45%,52%,0.026,20.7M,29.50%,Middle East,$0B,$0B,12/1/2006
2.20%,,,Below Threshold,,1.5-3%,,Not Clustered,American Samoa,,,,,,,,,,,,,,,1,,,,0.1M,88.00%,Oceania,,,12/1/2006
1.30%,0.511,371214,Below Threshold,"$36,113 ",Below 1.5%,82,Very Friendly,Australia,3,,115020,"$32,816 ",$747B,8.50%,"$3,330 ",107,0.50%,66%,0.094,84,79,95%,1,20%,67%,0.13,20.7M,88.20%,Oceania,$21B,$16B,12/1/2006
2.30%,0.415,1360,Below Threshold,"$3,747 ",1.5-3%,69,Friendly,Fiji,46,,559,$0 ,$3B,3.80%,$144 ,140,2.00%,10%,0.073,72,66,34%,1,30%,66%,0.042,0.8M,50.30%,Oceania,$1B,$0B,12/1/2006
1.80%,,851,Below Threshold,,1.5-3%,75,Not Clustered,French Polynesia,,,,,,,,,,25%,,77,72,59%,1,27%,68%,0.053,0.3M,56.60%,Oceania,$0B,$0B,12/1/2006
1.90%,,,Below Threshold,,1.5-3%,77,Not Clustered,Guam,,,,,,,,,,44%,,80,74,,1,29%,64%,0.066,0.2M,93.70%,Oceania,,,12/1/2006
2.40%,0.318,70,Below Threshold,"$1,138 ",1.5-3%,67,Moderate,Kiribati,31,,10,$0 ,$0B,11.00%,$124 ,120,5.00%,5%,,69,64,1%,1,36%,60%,0.037,0.1M,43.60%,Oceania,$0B,$0B,12/1/2006
3.50%,0.648,92,Above Threshold,"$2,752 ",Above 3%,,Moderate,Marshall Islands,17,,30,$0 ,$0B,19.60%,$547 ,128,3.30%,4%,,,,,1,,,,0.1M,70.20%,Oceania,$0B,$0B,12/1/2006
2.50%,0.596,103,Below Threshold,"$2,394 ",1.5-3%,68,Low,"Micronesia, Fed. Sts.",16,,,$0 ,$0B,11.90%,$285 ,128,3.60%,13%,0.156,69,67,18%,1,39%,58%,0.04,0.1M,22.30%,Oceania,$0B,$0B,12/1/2006
1.80%,,2780,Below Threshold,,1.5-3%,77,Not Clustered,New Caledonia,,,,,,,,,,34%,,80,73,67%,1,26%,66%,0.074,0.2M,64.60%,Oceania,$0B,$0B,12/1/2006
1.40%,0.354,33553,Below Threshold,"$26,336 ",Below 1.5%,80,Very Friendly,New Zealand,12,,16965,"$23,440 ",$110B,8.80%,"$2,295 ",172,0.50%,69%,0.082,82,78,91%,1,21%,67%,0.121,4.2M,86.10%,Oceania,$5B,$3B,12/1/2006
3.20%,0.415,4595,Below Threshold,$896 ,Above 3%,61,Moderate,Papua New Guinea,51,,,$0 ,$6B,3.50%,$31 ,207,5.50%,2%,0.106,63,59,2%,1,40%,58%,0.026,6.2M,13.10%,Oceania,$0B,$0B,12/1/2006
2.90%,0.202,158,Below Threshold,"$2,502 ",1.5-3%,72,Friendly,Samoa,35,,57,$0 ,$0B,5.20%,$129 ,224,1.60%,5%,0.117,75,68,25%,1,39%,56%,0.049,0.2M,21.00%,Oceania,$0B,$0B,12/1/2006
3.40%,0.261,180,Below Threshold,$950 ,Above 3%,66,Friendly,Solomon Islands,56,,59,$0 ,$0B,6.70%,$63 ,80,2.90%,2%,0.139,67,65,2%,1,41%,56%,0.03,0.5M,18.30%,Oceania,$0B,$0B,12/1/2006
2.90%,0.275,176,Below Threshold,"$2,913 ",1.5-3%,72,Friendly,Tonga,32,,57,$0 ,$0B,5.50%,$159 ,164,1.30%,6%,0.12,74,69,30%,1,38%,56%,0.06,0.1M,23.20%,Oceania,$0B,$0B,12/1/2006
2.90%,0.084,48,Below Threshold,"$2,036 ",1.5-3%,70,Friendly,Vanuatu,47,,31,$0 ,$0B,3.10%,$64 ,120,1.70%,6%,0.083,72,68,7%,1,39%,57%,0.034,0.2M,23.40%,Oceania,$0B,$0B,12/1/2006
1.80%,0.476,425,Below Threshold,"$13,675 ",1.5-3%,75,Friendly,Antigua and Barbuda,21,,143,"$9,376 ",$1B,4.50%,$607 ,184,1.00%,30%,0.109,77,72,132%,1,28%,65%,0.073,0.1M,28.60%,The Americas,$0B,$0B,12/1/2006
1.80%,1.076,174238,Below Threshold,"$6,784 ",1.5-3%,75,Moderate,Argentina,30,,73128,"$4,688 ",$264B,8.30%,$454 ,453,1.50%,21%,0.086,79,71,81%,1,26%,64%,0.103,39.0M,90.30%,The Americas,$4B,$4B,12/1/2006
1.20%,,2274,Below Threshold,"$24,015 ",Below 1.5%,75,Not Clustered,Aruba,,,,"$23,440 ",$2B,,,,,28%,0.113,77,72,108%,1,21%,70%,0.089,0.1M,44.50%,The Americas,$1B,$0B,12/1/2006
1.50%,,1522,Below Threshold,"$23,734 ",1.5-3%,74,Friendly,"Bahamas, The",,,706,"$23,440 ",$8B,6.90%,"$1,645 ",,1.20%,26%,0.055,77,71,75%,1,25%,69%,0.064,0.3M,82.30%,The Americas,$2B,$1B,12/1/2006
1.30%,,1371,Below Threshold,"$15,692 ",Below 1.5%,75,Friendly,Barbados,,,398,"$14,064 ",$4B,7.10%,$826 ,,1.40%,55%,0.103,77,72,86%,1,20%,69%,0.107,0.3M,32.80%,The Americas,$1B,$0B,12/1/2006
2.60%,0.348,407,Below Threshold,"$4,364 ",1.5-3%,72,Moderate,Belize,45,,172,$0 ,$1B,4.40%,$192 ,147,1.80%,10%,0.142,75,69,42%,1,37%,59%,0.04,0.3M,46.00%,The Americas,$0B,$0B,12/1/2006
1.30%,,521,Below Threshold,"$83,913 ",Below 1.5%,79,Not Clustered,Bermuda,,,,"$79,696 ",$5B,,,,,70%,,82,76,93%,1,,,,0.1M,100.00%,The Americas,$0B,$0B,12/1/2006
2.80%,0.8,14910,Below Threshold,"$1,203 ",1.5-3%,65,Low,Bolivia,50,,6439,$0 ,$11B,4.80%,$58 ,"1,080",4.20%,6%,0.119,67,63,30%,1,38%,58%,0.045,9.5M,64.70%,The Americas,$0B,$0B,12/1/2006
1.70%,0.69,347668,Below Threshold,"$5,788 ",1.5-3%,72,Moderate,Brazil,149,,222818,"$4,688 ","$1,089B",8.50%,$491 ,"2,600",1.90%,28%,0.508,76,68,53%,1,27%,67%,0.063,188.1M,83.10%,The Americas,$5B,$8B,12/1/2006
1.10%,0.45,550233,Below Threshold,"$40,245 ",Below 1.5%,81,Very Friendly,Canada,3,,268302,"$37,504 ","$1,311B",10.00%,"$3,904 ",119,0.50%,72%,0.058,83,78,58%,1,17%,69%,0.133,32.6M,80.20%,The Americas,$17B,$26B,12/1/2006
,,517,Below Threshold,,Above 3%,,Not Clustered,Cayman Islands,,,,,,,,,,45%,,,,185%,1,,,,0.1M,100.00%,The Americas,$1B,$0B,12/1/2006
1.50%,0.251,64393,Below Threshold,"$9,371 ",1.5-3%,78,Very Friendly,Chile,27,,29507,"$4,688 ",$155B,6.20%,$587 ,316,0.80%,35%,0.08,81,75,75%,1,24%,68%,0.082,16.5M,87.70%,The Americas,$2B,$2B,12/1/2006
2.10%,0.84,62940,Below Threshold,"$3,713 ",1.5-3%,73,Very Friendly,Colombia,43,,28568,$0 ,$163B,6.10%,$227 ,456,1.80%,15%,0.129,76,69,68%,1,30%,65%,0.052,43.8M,73.90%,The Americas,$2B,$2B,12/1/2006
1.70%,0.552,7437,Below Threshold,"$5,128 ",1.5-3%,79,Moderate,Costa Rica,77,,4182,"$4,688 ",$23B,7.80%,$410 ,402,0.90%,25%,0.222,81,76,33%,1,27%,67%,0.06,4.4M,66.90%,The Americas,$2B,$1B,12/1/2006
1.10%,,27407,Below Threshold,"$4,667 ",Below 1.5%,78,Not Clustered,Cuba,,,10847,$0 ,$53B,7.70%,$360 ,,0.50%,11%,,80,76,1%,1,19%,70%,0.112,11.3M,76.20%,The Americas,$2B,,12/1/2006
1.40%,,,Below Threshold,,Below 1.5%,75,Not Clustered,Curacao,,,,,,,,,,,,79,71,,1,21%,67%,0.124,0.1M,90.40%,The Americas,$0B,$0B,12/1/2006
1.50%,0.37,110,Below Threshold,"$5,408 ",1.5-3%,,Friendly,Dominica,14,,42,"$4,688 ",$0B,5.00%,$271 ,147,1.20%,39%,0.095,,,101%,1,,,,0.1M,66.90%,The Americas,$0B,$0B,12/1/2006
2.30%,0.358,20693,Below Threshold,"$3,794 ",1.5-3%,72,Moderate,Dominican Republic,72,,7068,$0 ,$36B,5.20%,$197 ,286,2.80%,15%,0.195,75,69,49%,1,33%,62%,0.057,9.5M,68.70%,The Americas,$4B,$0B,12/1/2006
2.30%,0.353,29688,Below Threshold,"$3,337 ",1.5-3%,75,Moderate,Ecuador,65,,10255,$0 ,$47B,6.50%,$216 ,600,2.30%,7%,0.098,78,72,61%,1,32%,62%,0.057,14.0M,61.90%,The Americas,$0B,$1B,12/1/2006
2.10%,0.347,6846,Below Threshold,"$3,043 ",1.5-3%,71,Moderate,El Salvador,26,,4735,$0 ,$19B,6.70%,$203 ,320,1.90%,6%,,76,66,63%,1,35%,59%,0.064,6.1M,62.20%,The Americas,$1B,$0B,12/1/2006
1.50%,,627,Below Threshold,"$30,620 ",1.5-3%,70,Not Clustered,Greenland,,,,"$28,128 ",$2B,,,,,59%,,72,67,95%,1,,,,0.1M,83.20%,The Americas,,,12/1/2006
1.90%,0.453,231,Below Threshold,"$6,825 ",1.5-3%,72,Moderate,Grenada,20,,81,"$4,688 ",$1B,6.40%,$435 ,140,1.30%,21%,0.099,74,69,45%,1,29%,63%,0.076,0.1M,35.90%,The Americas,$0B,$0B,12/1/2006
3.40%,0.387,12526,Below Threshold,"$2,326 ",Above 3%,70,Friendly,Guatemala,30,,7940,$0 ,$30B,7.30%,$171 ,344,3.20%,7%,0.128,73,66,55%,1,43%,53%,0.043,13.0M,47.60%,The Americas,$1B,$1B,12/1/2006
2.20%,0.39,1291,Below Threshold,"$1,906 ",1.5-3%,65,Moderate,Guyana,41,,500,$0 ,$1B,4.10%,$79 ,288,3.50%,,0.145,68,62,52%,1,37%,59%,0.037,0.8M,28.30%,The Americas,$0B,$0B,12/1/2006
2.80%,0.404,2112,Below Threshold,$520 ,1.5-3%,60,Low,Haiti,202,,2645,$0 ,$5B,5.70%,$30 ,184,6.40%,7%,0.264,62,58,13%,1,38%,58%,0.042,9.4M,45.80%,The Americas,$0B,$0B,12/1/2006
2.80%,0.44,7008,Below Threshold,"$1,541 ",1.5-3%,72,Moderate,Honduras,44,,3993,$0 ,$11B,7.60%,$118 ,424,2.50%,8%,0.174,74,69,32%,1,39%,57%,0.042,7.0M,49.20%,The Americas,$1B,$0B,12/1/2006
1.60%,0.499,12020,Below Threshold,"$4,487 ",1.5-3%,72,Friendly,Jamaica,8,,4176,$0 ,$12B,4.20%,$187 ,414,1.80%,16%,0.176,75,69,84%,1,31%,62%,0.077,2.7M,53.00%,The Americas,$2B,$0B,12/1/2006
2.10%,0.531,441796,Below Threshold,"$8,623 ",1.5-3%,76,Very Friendly,Mexico,25,,172307,"$4,688 ",$967B,5.70%,$515 ,560,1.60%,20%,0.075,78,73,49%,1,32%,63%,0.054,112.1M,76.60%,The Americas,$13B,$9B,12/1/2006
2.50%,0.635,4466,Below Threshold,"$1,228 ",1.5-3%,72,Moderate,Nicaragua,39,,2824,$0 ,$7B,6.30%,$78 ,240,2.50%,3%,0.116,75,69,33%,1,37%,59%,0.042,5.5M,56.20%,The Americas,$0B,$0B,12/1/2006
2.20%,0.441,7371,Below Threshold,"$4,998 ",1.5-3%,76,Friendly,Panama,18,,3093,"$4,688 ",$17B,7.00%,$350 ,560,1.90%,17%,0.084,79,73,63%,1,31%,63%,0.062,3.4M,64.00%,The Americas,$1B,$0B,12/1/2006
2.50%,0.448,3986,Below Threshold,"$1,773 ",1.5-3%,72,Moderate,Paraguay,74,,4076,$0 ,$11B,5.70%,$101 ,328,2.30%,8%,0.301,74,69,54%,1,35%,60%,0.048,6.0M,57.60%,The Americas,$0B,$0B,12/1/2006
2.20%,0.383,35064,Below Threshold,"$3,124 ",1.5-3%,73,Very Friendly,Peru,72,,13248,$0 ,$88B,4.50%,$149 ,424,2.00%,21%,0.239,75,70,33%,1,32%,63%,0.055,28.0M,75.40%,The Americas,$2B,$1B,12/1/2006
1.20%,0.576,,Below Threshold,"$22,936 ",Below 1.5%,79,Very Friendly,Puerto Rico,7,,,"$18,752 ",$87B,,,140,,25%,,83,74,59%,1,22%,66%,0.123,3.8M,94.10%,The Americas,$3B,$2B,12/1/2006
,,,Below Threshold,,Above 3%,,Not Clustered,Sint Maarten (Dutch part),,,,,,,,,,,,,,,1,,,,0.0M,100.00%,The Americas,$1B,$0B,12/1/2006
,0.523,235,Below Threshold,"$12,635 ",Above 3%,,Friendly,St. Kitts and Nevis,19,,79,"$9,376 ",$1B,4.00%,$517 ,172,1.00%,49%,0.093,,,102%,1,,,,0.0M,32.00%,The Americas,$0B,$0B,12/1/2006
1.70%,0.34,367,Below Threshold,"$6,072 ",1.5-3%,74,Friendly,St. Lucia,20,,119,"$4,688 ",$1B,6.50%,$393 ,71,1.50%,25%,0.108,76,71,63%,1,28%,65%,0.074,0.2M,22.10%,The Americas,$0B,$0B,12/1/2006
1.80%,,,Below Threshold,,1.5-3%,78,Not Clustered,St. Martin (French part),,,,,,,,,,,,81,75,,1,,,,0.0M,,The Americas,,,12/1/2006
1.80%,0.45,202,Below Threshold,"$5,611 ",1.5-3%,72,Friendly,St. Vincent and the Grenadines,12,,70,"$4,688 ",$1B,3.90%,$218 ,76,1.90%,12%,0.097,74,69,81%,1,28%,65%,0.071,0.1M,47.40%,The Americas,$0B,$0B,12/1/2006
2.00%,0.279,2442,Below Threshold,"$5,198 ",1.5-3%,70,Low,Suriname,694,,714,"$4,688 ",$3B,6.20%,$323 ,199,2.50%,10%,0.156,73,66,63%,1,30%,64%,0.062,0.5M,66.60%,The Americas,$0B,$0B,12/1/2006
1.50%,0.372,32152,Below Threshold,"$14,163 ",1.5-3%,70,Friendly,Trinidad and Tobago,43,,19585,"$14,064 ",$18B,4.40%,$625 ,210,2.30%,30%,0.109,73,66,117%,1,21%,71%,0.074,1.3M,9.70%,The Americas,$1B,$0B,12/1/2006
,,143,Below Threshold,,Above 3%,,Not Clustered,Turks and Caicos Islands,,,,,,,,,,,,,,,1,,,,0.0M,88.30%,The Americas,,,12/1/2006
1.40%,0.474,5737616,Above Threshold,"$46,444 ",Below 1.5%,78,Very Friendly,United States,6,,2296686,"$42,192 ","$13,858B",15.90%,"$7,110 ",325,0.70%,69%,0.08,80,75,76%,1,20%,67%,0.124,298.4M,80.10%,The Americas,$133B,$105B,12/1/2006
1.50%,0.713,6648,Below Threshold,"$5,879 ",1.5-3%,76,Friendly,Uruguay,43,,3183,"$4,688 ",$20B,8.30%,$491 ,304,1.20%,29%,0.093,80,72,70%,1,24%,63%,0.136,3.3M,93.60%,The Americas,$1B,$0B,12/1/2006
2.20%,0.498,171825,Below Threshold,"$6,748 ",1.5-3%,74,Low,"Venezuela, RB",141,,63705,"$4,688 ",$183B,5.70%,$387 ,864,1.50%,15%,0.155,76,71,69%,1,31%,64%,0.051,27.2M,88.60%,The Americas,$1B,$2B,12/1/2006
1.30%,,,Below Threshold,,Below 1.5%,79,Not Clustered,Virgin Islands (U.S.),,,,,,,,,,27%,,82,76,,1,22%,67%,0.111,0.1M,93.90%,The Americas,$1B,,12/1/2006
2.30%,0.742,112339,Below Threshold,"$3,846 ",1.5-3%,71,Low,Algeria,25,,36793,$0 ,$135B,3.50%,$135 ,451,2.60%,10%,0.08,72,69,79%,1,28%,68%,0.046,35.1M,65.30%,Africa,$0B,$1B,12/1/2007
4.80%,0.521,25152,Below Threshold,"$3,413 ",Above 3%,50,Low,Angola,119,,10697,$0 ,$60B,3.40%,$115 ,272,11.70%,3%,0.177,51,48,28%,1,48%,50%,0.024,17.7M,37.70%,Africa,$0B,$0B,12/1/2007
3.90%,0.732,4499,Below Threshold,$632 ,Above 3%,58,Low,Benin,31,,3206,$0 ,$6B,4.50%,$29 ,270,6.90%,2%,,59,57,24%,1,44%,53%,0.028,8.7M,40.70%,Africa,$0B,$0B,12/1/2007
2.50%,0.171,4701,Below Threshold,"$5,712 ",1.5-3%,46,Friendly,Botswana,107,,2033,"$4,688 ",$11B,4.70%,$269 ,140,4.30%,5%,0.162,46,46,60%,1,35%,62%,0.033,1.9M,55.50%,Africa,$1B,$0B,12/1/2007
4.40%,0.476,1646,Below Threshold,$475 ,Above 3%,54,Low,Burkina Faso,18,,,$0 ,$7B,7.70%,$32 ,270,7.90%,1%,,54,53,13%,1,46%,51%,0.025,14.2M,23.20%,Africa,$0B,$0B,12/1/2007
4.40%,2.797,191,Below Threshold,$163 ,Above 3%,52,Low,Burundi,13,,,$0 ,$1B,10.00%,$16 ,140,6.90%,1%,0.168,53,50,3%,1,45%,53%,0.026,8.3M,9.90%,Africa,$0B,$0B,12/1/2007
4.00%,0.508,5834,Below Threshold,"$1,070 ",Above 3%,53,Low,Cameroon,38,,6340,$0 ,$20B,4.70%,$50 ,654,7.30%,3%,0.15,53,52,24%,1,44%,53%,0.033,19.1M,49.70%,Africa,$0B,$0B,12/1/2007
3.60%,2.038,235,Below Threshold,$413 ,Above 3%,47,Low,Central African Republic,22,,,$0 ,$2B,4.30%,$18 ,504,10.80%,0%,0.15,48,45,8%,1,42%,55%,0.039,4.1M,38.30%,Africa,$0B,$0B,12/1/2007
4.90%,0.74,462,Below Threshold,$808 ,Above 3%,49,Low,Chad,64,,,$0 ,$9B,4.20%,$27 ,732,9.90%,1%,0.15,49,48,9%,1,49%,48%,0.026,10.7M,21.90%,Africa,,,12/1/2007
3.90%,2.179,121,Below Threshold,$735 ,Above 3%,60,Low,Comoros,22,,41,$0 ,$0B,4.90%,$36 ,100,6.80%,3%,0.105,61,58,10%,1,42%,55%,0.03,0.6M,27.90%,Africa,$0B,$0B,12/1/2007
4.50%,2.881,2604,Below Threshold,$286 ,Above 3%,49,Low,"Congo, Dem. Rep.",133,,21459,$0 ,$16B,5.90%,$10 ,308,10.00%,0%,0.47,50,47,12%,1,46%,51%,0.028,57.2M,38.40%,Africa,$0B,$0B,12/1/2007
3.90%,0.649,1437,Below Threshold,"$2,233 ",Above 3%,56,Low,"Congo, Rep.",37,,1209,$0 ,$8B,2.50%,$57 ,606,5.30%,3%,0.15,57,54,34%,1,42%,54%,0.035,3.8M,61.90%,Africa,$0B,$0B,12/1/2007
3.60%,0.446,6883,Below Threshold,"$1,103 ",Above 3%,48,Low,Cote d'Ivoire,40,,10233,$0 ,$20B,6.60%,$72 ,270,8.40%,2%,,49,47,42%,1,42%,55%,0.03,17.9M,48.30%,Africa,$0B,$1B,12/1/2007
2.90%,0.378,488,Below Threshold,"$1,062 ",1.5-3%,59,Low,Djibouti,37,,143,$0 ,$1B,7.70%,$78 ,66,6.70%,2%,0.112,60,57,9%,1,36%,61%,0.035,0.8M,76.90%,Africa,$0B,$0B,12/1/2007
2.40%,0.451,192382,Below Threshold,"$1,758 ",1.5-3%,70,Moderate,"Egypt, Arab Rep.",10,,71189,$0 ,$130B,4.90%,$85 ,711,2.30%,16%,0.125,72,68,41%,1,32%,63%,0.054,74.2M,43.10%,Africa,$10B,$3B,12/1/2007
3.80%,0.441,4796,Below Threshold,"$15,944 ",Above 3%,50,Low,Equatorial Guinea,135,,1759,"$14,064 ",$10B,2.40%,$380 ,492,8.20%,2%,0.15,51,49,24%,1,40%,57%,0.031,0.6M,39.00%,Africa,,,12/1/2007
4.00%,0.845,579,Below Threshold,$253 ,Above 3%,60,Low,Eritrea,84,,721,$0 ,$1B,3.30%,$8 ,216,4.40%,0%,,62,57,2%,1,43%,55%,0.02,5.2M,19.50%,Africa,$0B,,12/1/2007
3.70%,0.303,5915,Below Threshold,$241 ,Above 3%,59,Moderate,Ethiopia,18,,30536,$0 ,$19B,4.80%,$11 ,198,6.10%,0%,0.075,60,58,2%,1,46%,51%,0.032,80.4M,16.10%,Africa,$1B,$0B,12/1/2007
3.30%,0.447,2332,Below Threshold,"$7,994 ",Above 3%,61,Low,Gabon,57,,1832,"$4,688 ",$12B,3.30%,$262 ,488,4.80%,6%,0.15,62,60,81%,1,39%,55%,0.055,1.4M,84.40%,Africa,,,12/1/2007
4.40%,2.921,396,Below Threshold,$522 ,Above 3%,58,Low,"Gambia, The",32,,133,$0 ,$1B,4.10%,$21 ,376,5.50%,6%,0.279,59,56,52%,1,46%,51%,0.025,1.5M,54.00%,Africa,$0B,$0B,12/1/2007
3.30%,0.327,9578,Below Threshold,"$1,099 ",Above 3%,60,Friendly,Ghana,15,,9064,$0 ,$25B,6.00%,$66 ,304,5.70%,4%,,61,59,34%,1,40%,57%,0.035,22.5M,48.70%,Africa,$1B,$1B,12/1/2007
3.90%,0.807,1210,Below Threshold,$411 ,Above 3%,54,Low,Guinea,40,,,$0 ,$4B,6.30%,$26 ,416,7.90%,1%,,55,53,20%,1,43%,53%,0.032,10.0M,33.60%,Africa,$0B,$0B,12/1/2007
4.00%,0.459,231,Below Threshold,$465 ,Above 3%,53,Low,Guinea-Bissau,259,,95,$0 ,$1B,6.10%,$29 ,208,9.10%,2%,,54,52,20%,1,43%,55%,0.029,1.5M,42.60%,Africa,$0B,$0B,12/1/2007
3.80%,0.493,9831,Below Threshold,$721 ,Above 3%,57,Moderate,Kenya,44,,17230,$0 ,$27B,4.40%,$32 ,432,5.80%,8%,0.133,58,55,30%,1,43%,55%,0.027,37.8M,22.40%,Africa,$2B,$0B,12/1/2007
2.80%,0.224,7,Below Threshold,$817 ,1.5-3%,45,Moderate,Lesotho,73,,19,$0 ,$2B,8.50%,$69 ,342,8.20%,3%,0.141,45,45,25%,1,39%,57%,0.045,2.0M,23.30%,Africa,$0B,$0B,12/1/2007
